,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
0,31,0.00010306973723711302,minmax,1.0878403360852277e-11,17,xsigmoid,fpn,20,0.006099091600809319,0.7214772607765946,0.9329035656124938,1.2930463873640605,0.0013316636031959206,0.9033454954624176,0.9297411292791367,1.029219865432779,0.08839783817529678,0.002663327206391841,0.03608574811369181,0.7212470918893814,0.040159973315894604,0.0020735371217597276,0.03079200442880392,0.8299514651298523,1.2844367136921968,1.171919424639207,0.0012405979447066783,0.9098384737968445,0.9367727041244507,1.0296033099317146,0.08355915099382401,0.0024811958894133566,0.035276953130960464,0.7258009672164917,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,1.4318336134279677,1.2359098471406174,1.0306973723711302e-05
1,33,0.00018922739139132024,negone,1.133405124256192e-06,16,xtanh,deeplabv3+,9,0.006434843917800622,0.8888693495230241,0.9326030341061678,1.0492014766923976,0.005520965671166778,0.8941605091094971,0.9297411292791367,1.0397922071117573,0.18147962540388107,0.011041931342333555,0.07002218812704086,-10.0,0.06342713069170713,0.00829414848703891,0.06158400885760784,-10.0,1.3312917365282941,1.1370189993467859,0.005881455074995756,0.8925439238548278,0.9367727518081665,1.049553670997297,0.17230411171913146,0.011762910149991512,0.0733400210738182,-10.0,0.05653894171118736,0.006931520160287618,0.057086612284183505,-10.0,1.6970173754069293,1.2847148944260947,1.8922739139132027e-05
2,35,1.1266701878877728e-05,zscore,4.643518833972741e-05,121,mse,deeplabv3,6,0.3781455159187317,0.7738479716437203,0.9324034367288861,1.2048922668213244,0.37023869156837463,0.7580996304750443,0.9297411441802979,1.2264102326467283,0.4619307294487953,0.8601736575365067,0.7365733832120895,-10.0,0.08467775583267212,0.15528537705540657,0.26646939665079117,-10.0,5.539308812249543,2.7641950350395055,0.39450162649154663,0.7649729728698731,0.9367727279663086,1.224582777678944,0.47277444005012514,0.9262849450111389,0.7638482451438904,-10.0,0.07470981180667877,0.12977386265993118,0.2470095008611679,-10.0,7.137684939211858,3.0923840681464823,1.1266701878877728e-05
3,37,9.902934666895363e-06,minmax,4.147714246227241e-08,87,huber,manet,33,0.0019933350384235384,0.8501311004161834,0.9329091548919678,1.0973709283606494,0.0013066313113085926,0.8901355862617493,0.9297411292791367,1.0444938317585037,0.048373783472925425,0.002613262622617185,0.03914797957986593,0.6495918184518814,0.040159973315894604,0.0020735371217597276,0.03079200442880392,0.8299514651298523,1.260292181506456,1.271368340777632,0.0028618131298571827,0.8358139634132385,0.9367727041244507,1.120790923734899,0.05376352667808533,0.005723626259714365,0.04581745117902756,0.6315411567687989,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,3.3029558465436923,1.60519075649272,9.902934666895363e-06
4,39,1.5634132381752595e-06,minmax,2.4023823359072413e-05,79,logcosh,unet,60,0.005951902575113557,0.6657620993527499,0.9327793283896013,1.4010700358227721,0.0051781205693259835,0.7207020819187164,0.9297411292791367,1.2900491792723814,0.10851774737238884,0.010356241138651967,0.0813429169356823,0.4415888115763664,0.040159973315894604,0.0020735371217597276,0.03079200442880392,0.8299514651298523,4.994480701586399,2.641689569893387,0.005231503862887621,0.7121558904647827,0.9367727041244507,1.3154039960451267,0.10890677720308303,0.010463007725775242,0.0808425486087799,0.4388011634349823,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,6.03792962226115,2.8322769691197194,1.5634132381752595e-06
5,42,1.4970578200769323e-05,zscore,2.0474336944226856e-10,94,xtanh,fpn,31,0.2906123267279731,0.7822522719701132,0.933159351348877,1.1929135712175079,0.2630608342587948,0.7764034122228622,0.9297411441802979,1.197497498778922,0.32683127373456955,0.5944944322109222,0.5792336314916611,-10.0,0.08467775583267212,0.15528537705540657,0.26646939665079117,-10.0,3.8283993218421575,2.173734165243554,0.2822366416454315,0.7582735300064087,0.9367727279663086,1.2354021219208209,0.3517059087753296,0.6431573510169983,0.6039473414421082,-10.0,0.07470981180667877,0.12977386265993118,0.2470095008611679,-10.0,4.955985264169676,2.4450368886076075,1.4970578200769323e-06
