,Unnamed: 0,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
0,0,0,1.2871644037468009e-05,zscore,2.3534289524959783e-10,49,smooth,deeplabv3+,11,0.3540910581747691,0.8024086025026109,0.9328860309388902,1.1626072153630167,0.3190174996852875,0.7966723591089249,0.929741144180298,1.167030754299308,0.4542448222637176,0.7327439934015274,0.6677053421735764,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,4.718692817676456,2.5057486922170127,0.3354323089122772,0.8029408931732178,0.9367727279663086,1.1666770691727857,0.4617701649665832,0.7764800190925598,0.6840424060821533,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,5.983331336351637,2.769295932736694,1.2871644037468009e-05
0,0,1,0.0037491208546242,negone,2.07706808759448e-10,67,logcosh,fpn,0,0.0412382913323549,0.0397160970247708,0.9326582459303048,23.483129405908315,0.0459582908079028,0.0678176321089267,0.9297411292791368,13.70943072423721,0.3287566304206848,0.0919165816158056,0.2408971451222896,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,11.082099839355626,3.911683399489025,0.0422826670110225,0.0727975249290466,0.9367727518081664,12.868195075604676,0.3185422360897064,0.0845653340220451,0.2311958074569702,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,12.20011369317523,4.049912899123385,0.0037491208546242
1,1,2,3.6067010350850016e-06,negone,7.61953912109223e-05,76,mse,pspnet,74,0.0094116533344442,0.8125777569684115,0.93279752406207,1.147948631454272,0.0073925566393882,0.8401756286621094,0.9297411292791368,1.1066033071676344,0.294157475233078,0.0147851132787764,0.0864142831414938,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,1.7825956819896327,1.4031935358624923,0.0078235030174255,0.838742709159851,0.9367727518081664,1.1168773708286657,0.2789231598377227,0.015647006034851,0.0897979393601417,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,2.257370053469168,1.573012231188595,3.6067010350850016e-06
1,1,3,0.00481290960738,minmax,1.769209457899457e-06,6,huber,deeplabv3+,4,0.0013841743954001,0.9105261702115844,0.9322737499970156,1.023884629016624,0.0011312227870803,0.9125301241874696,0.9297411292791368,1.0188607527965086,0.0876011252403259,0.0022624455741606,0.0312528791837394,0.7415409982204437,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.09110444680181,1.014967351540921,0.0010710739530622,0.9160393953323364,0.9367727041244508,1.0226336431574454,0.0825189381837844,0.0021421479061245,0.0312547881156206,0.7462870240211487,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,1.2361778406979085,1.0949953715953855,0.00481290960738
2,2,4,1.846563859437796e-05,minmax,6.387046286223154e-11,116,huber,manet,16,0.0025340494633253,0.8062077420098441,0.9331262367112296,1.1574265392006564,0.0018720296502579,0.8435055017471313,0.9297411292791368,1.10223481335141,0.0788137624040246,0.0037440593005158,0.0472461218014359,0.5415376573801041,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.805638906207943,1.534363308847808,0.0019594885408878,0.8408792734146118,0.9367727041244508,1.1140394747993234,0.0791715949773788,0.0039189770817756,0.0484427295625209,0.5289753079414368,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,2.2615397437511318,1.69716602979934,1.846563859437796e-05
3,3,5,4.01233423196055e-06,minmax,2.7021539912439333e-05,58,mse,pspnet,40,0.0048155092944701,0.7040799220403036,0.932987105846405,1.325115340802174,0.0017577996768523,0.8557033389806747,0.9297411292791368,1.0865227315656576,0.1289240680634975,0.0035155993537046,0.0418367339298129,0.6037386059761047,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,1.6954600507566768,1.3586882278659769,0.0017949272878468,0.85260089635849,0.9367727041244508,1.0987235740959969,0.1240347474813461,0.0035898545756936,0.0440666876733303,0.5972839951515198,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,2.0716117057616112,1.5438536606082505,4.01233423196055e-07
2,2,6,6.886914959777775e-06,zscore,7.817452910118117e-10,41,mse,unet++,50,0.3474525596414293,0.8924212484132676,0.9325152124677386,1.044927173266838,0.3084568977355957,0.8905642330646515,0.929741144180298,1.043991112219754,0.2147302217781543,0.6998848915100098,0.6524052172899246,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,4.507088206124441,2.448330748258132,0.3305097252130508,0.8892330527305603,0.9367727279663086,1.053461435210678,0.247628366947174,0.7601867914199829,0.6774742841720581,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,5.857780417710393,2.7427053688628504,6.886914959777775e-06
4,4,7,1.1833052953083575e-05,negone,9.967021327088652e-07,4,huber,deeplabv3,15,0.0079600070497359,0.8507486199790781,0.931688204407692,1.0951392485721627,0.0085349160945042,0.8609833717346191,0.9297411292791368,1.0798595650064549,0.2898343652486801,0.0170698340516537,0.0925498828291893,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,2.0580574459606567,1.502823290428844,0.0090152638033032,0.8636061668395996,0.9367727518081664,1.08472216593395,0.281358391046524,0.0180305276066064,0.0966959804296493,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,2.60123712975803,1.6938468856460778,1.1833052953083575e-05
5,5,8,1.4154197602568485e-06,negone,0.0003686327726084,128,smooth,unet++,3,0.1055764369666576,0.1795132036010424,0.9326159358024596,5.195249803881524,0.1287827864289283,0.4009021371603012,0.9297411292791368,2.319122406941369,0.2698207534849643,0.2581640183925628,0.4473762661218643,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,31.12604251008893,7.26448755806512,0.1327759742736816,0.3732084393501281,0.9367727518081664,2.510052434611015,0.2684070497751236,0.266118261218071,0.4531873643398285,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,38.39248174487436,7.938592713889053,1.4154197602568485e-06
6,6,9,1.5824633856569872e-05,minmax,5.727108431158585e-10,38,smooth,fpn,28,0.0137062905275303,0.5756180778793667,0.9329436628714852,1.6207685246935624,0.0024454944068565,0.8762673884630203,0.9297411292791368,1.0610244561422166,0.0889085363596677,0.0048909888137131,0.054346339777112,0.6811023205518723,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,2.358765976450138,1.7649497259189315,0.0026425545569509,0.8739061474800109,0.9367727041244508,1.0719374235159247,0.0864618003368377,0.0052851091139018,0.0570579998195171,0.6790102958679199,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,3.0498990072518533,1.9989975770667932,1.5824633856569872e-05
