number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
23,1.0683858226276923,4.384070223800676,2.408890869228076,2023-05-30 18:40:23.290627,2023-05-30 18:58:32.587206,0 days 00:18:09.296579,2.221823854185332e-05,manet,zscore,108,logcosh,1.4843079940067858e-11,COMPLETE
24,1.0665515783214816,5.261536093584677,2.934363333044286,2023-05-30 18:56:35.951991,2023-05-30 19:35:44.114060,0 days 00:39:08.162069,2.3899838645133014e-06,unet++,negone,27,huber,8.716236047182032e-08,COMPLETE
25,1.1674363366156548,4.8380124594746565,2.5459437246841645,2023-05-30 18:58:54.204882,2023-05-30 19:31:39.179152,0 days 00:32:44.974270,3.646490568252378e-06,deeplabv3+,zscore,78,logcosh,3.3060213667953846e-05,COMPLETE
26,1.1641966635510774,3.6878823265686633,2.2761839843330223,2023-05-30 19:31:39.322517,2023-05-30 19:45:57.983499,0 days 00:14:18.660982,5.282986358782595e-06,deeplabv3+,minmax,73,logcosh,7.332317769012572e-10,COMPLETE
27,0.99342068004128,0.8883657966117572,0.8964990811538683,2023-05-30 19:35:44.210699,2023-05-30 19:51:46.517200,0 days 00:16:02.306501,0.001781361518944176,manet,negone,71,logcosh,0.0002711198826646007,COMPLETE
28,0.9956951741717728,0.9466701048854639,0.9417486123244216,2023-05-30 19:45:58.087921,2023-05-30 20:03:39.115318,0 days 00:17:41.027397,0.0013094836497821302,unet++,negone,98,mae,1.222894191963587e-09,COMPLETE
29,1.3322703518948495,5.906290150829533,2.719290639111556,2023-05-30 19:51:46.609863,2023-05-30 20:17:21.972923,0 days 00:25:35.363060,1.6611776610434647e-06,unet,minmax,57,huber,2.475873765999659e-07,COMPLETE
30,1.0319915392198697,1.1301308969589434,1.1917007713504506,2023-05-30 20:03:39.211256,2023-05-30 20:27:46.904455,0 days 00:24:07.693199,5.299623455282825e-06,manet,minmax,50,smooth,0.0007315142105763939,COMPLETE
31,1.029219865432779,1.2844367136921968,1.171919424639207,2023-05-30 20:18:19.770519,2023-05-30 20:31:06.870133,0 days 00:12:47.099614,0.00010306973723711302,fpn,minmax,17,xsigmoid,1.0878403360852277e-11,COMPLETE
32,0.9935847770152858,0.9214548207509137,0.9295442112451741,2023-05-30 20:28:17.152161,2023-05-30 20:36:32.409769,0 days 00:08:15.257608,0.000978479118035451,manet,negone,29,mae,3.488269796037184e-12,COMPLETE
33,1.0397922071117573,1.3312917365282941,1.1370189993467859,2023-05-30 20:31:06.963861,2023-05-30 20:39:15.879817,0 days 00:08:08.915956,0.00018922739139132024,deeplabv3+,negone,16,xtanh,1.133405124256192e-06,COMPLETE
34,1.0796497251485122,2.3691710797796595,1.7400751718033118,2023-05-30 20:36:32.521241,2023-05-30 20:40:39.540139,0 days 00:04:07.018898,0.0014001327980386854,unet++,negone,119,smooth,9.237588428281613e-07,COMPLETE
35,1.2264102326467283,5.539308812249543,2.7641950350395055,2023-05-30 20:39:15.981193,2023-05-30 20:45:17.068734,0 days 00:06:01.087541,1.1266701878877728e-05,deeplabv3,zscore,121,mse,4.643518833972741e-05,COMPLETE
36,1.0608939671405464,1.3713967565958225,1.1640830927623707,2023-05-30 20:40:39.638263,2023-05-30 20:51:25.084414,0 days 00:10:45.446151,0.0008269910775268467,pspnet,minmax,51,xtanh,1.8322777602606757e-10,COMPLETE
37,1.0444938317585037,1.260292181506456,1.271368340777632,2023-05-30 20:45:17.152836,2023-05-30 21:03:34.040666,0 days 00:18:16.887830,9.902934666895363e-06,manet,minmax,87,huber,4.147714246227241e-08,COMPLETE
38,1.0418691358629952,1.3533761446032633,1.242392544121446,2023-05-30 20:51:25.212221,2023-05-30 21:17:31.221936,0 days 00:26:06.009715,2.0928715282204056e-05,deeplabv3+,minmax,94,smooth,8.020150331421993e-05,COMPLETE
39,1.2900491792723814,4.994480701586399,2.641689569893387,2023-05-30 21:03:34.115105,2023-05-30 21:34:20.129998,0 days 00:30:46.014893,1.5634132381752595e-06,unet,minmax,79,logcosh,2.4023823359072413e-05,COMPLETE
40,1.0650964885286802,1.452371441095807,1.238176610274859,2023-05-30 21:17:31.304549,2023-05-30 21:23:30.205969,0 days 00:05:58.901420,0.0002508633780518012,deeplabv3,minmax,77,mae,6.194011908018905e-10,COMPLETE
41,1.2502276228900613,5.3761155210075575,2.484337392907522,2023-05-30 21:23:30.299177,2023-05-30 21:39:05.034283,0 days 00:15:34.735106,3.0296310278983887e-06,deeplabv3,minmax,90,xsigmoid,7.812797491890647e-05,COMPLETE
42,1.197497498778922,3.8283993218421575,2.173734165243554,2023-05-30 21:34:20.258205,2023-05-30 21:51:27.794037,0 days 00:17:07.535832,1.4970578200769323e-05,fpn,zscore,94,xtanh,2.0474336944226856e-10,COMPLETE
43,0.9599522579925722,0.37642779032417917,0.6621015524369589,2023-05-30 21:39:05.165619,2023-05-30 21:58:28.168108,0 days 00:19:23.002489,0.0020806786154491134,manet,minmax,96,xtanh,8.278383992889147e-12,COMPLETE
44,3.361707313781307,8.217590742006383,3.3273253276664376,2023-05-30 21:51:51.501754,2023-05-30 21:57:45.669006,0 days 00:05:54.167252,1.484078444679139e-06,fpn,negone,94,mae,0.00037374237771707587,COMPLETE
45,0.9966763966640967,1.1717390148832234,1.106336488987593,2023-05-30 21:57:45.754246,2023-05-30 22:26:57.633358,0 days 00:29:11.879112,0.00042912064940773875,linknet,negone,53,mse,0.00019095185233813626,COMPLETE
46,1.0966858501836594,4.92242459541109,2.5982594619190644,2023-05-30 21:58:52.424709,2023-05-30 22:32:52.022391,0 days 00:33:59.597682,3.4854841504132265e-06,manet,zscore,105,logcosh,0.00021769839714347184,COMPLETE
47,1.0469580991883851,1.3167977270027607,1.2098569313669623,2023-05-30 22:26:57.725986,2023-05-30 22:36:40.169109,0 days 00:09:42.443123,0.0001262786392436874,linknet,minmax,59,xtanh,0.0001683527032353388,COMPLETE
48,1.1198611630613406,2.0717794703781576,1.534847298900273,2023-05-30 22:32:52.121041,2023-05-30 23:01:19.242293,0 days 00:28:27.121252,2.4896632824992464e-06,manet,minmax,47,mae,0.0009998546784309845,COMPLETE
49,1.0967530513075785,3.80706826326901,2.152742868101721,2023-05-30 22:36:40.272981,2023-05-30 22:39:49.547834,0 days 00:03:09.274853,0.0009917124867738617,linknet,zscore,15,mae,1.374716954864566e-06,COMPLETE
50,0.9804792393298294,0.6123768185059376,0.8731884059066869,2023-05-30 22:39:49.652531,2023-05-30 22:52:34.072085,0 days 00:12:44.419554,7.623902689829396e-05,unet,minmax,76,mse,0.00028355475960317077,COMPLETE
51,1.0695379186893748,1.43734144503693,1.216368112877054,2023-05-30 22:52:34.160427,2023-05-30 23:03:36.889618,0 days 00:11:02.729191,0.006889530478335835,deeplabv3,minmax,55,xsigmoid,5.388578193125046e-09,COMPLETE
52,1.1647056063011387,3.2373672513280813,1.9722661178260203,2023-05-30 23:01:19.348646,2023-05-30 23:07:57.058725,0 days 00:06:37.710079,2.5687181468915415e-05,unet,minmax,87,xtanh,7.012471876925735e-05,COMPLETE
53,1.0294691558728157,1.3868161348635148,1.2143821869399933,2023-05-30 23:03:37.029360,2023-05-30 23:14:52.819671,0 days 00:11:15.790311,0.0003324808851699029,fpn,minmax,51,xsigmoid,6.935648296133043e-11,COMPLETE
54,1.0768921835975005,1.5416426531028822,1.2854698667194473,2023-05-30 23:07:57.170000,2023-05-30 23:28:09.575530,0 days 00:20:12.405530,4.324830640708608e-06,pspnet,minmax,19,xtanh,5.095545050211428e-09,COMPLETE
55,1.0943625601156097,1.8408990358263775,1.389524159018891,2023-05-30 23:15:15.042281,2023-05-30 23:22:05.917022,0 days 00:06:50.874741,0.00014454804492687528,deeplabv3,negone,49,logcosh,3.274720014209478e-07,COMPLETE
56,3.875515803047658,7.394089847349712,3.274113344090803,2023-05-30 23:22:06.004241,2023-05-30 23:25:02.491827,0 days 00:02:56.487586,2.0757083763175643e-06,linknet,zscore,93,logcosh,3.302292379117967e-09,COMPLETE
57,1.1489944703261634,3.7303745617543727,2.1306790674224128,2023-05-30 23:25:02.582261,2023-05-30 23:30:41.489691,0 days 00:05:38.907430,0.0015059371119989465,fpn,zscore,10,smooth,1.0899722277560529e-11,COMPLETE
58,1.0135501740212425,0.9403919168003826,0.923076976588365,2023-05-30 23:28:31.787906,2023-05-30 23:44:42.228382,0 days 00:16:10.440476,0.00013080358547894368,deeplabv3+,minmax,5,mse,0.00015069134280088208,COMPLETE
59,1.2282700735085537,5.152753276363091,2.642312409113098,2023-05-30 23:30:41.608565,2023-05-30 23:39:09.145177,0 days 00:08:27.536612,2.636449793841918e-06,deeplabv3,zscore,50,huber,3.9025666277166716e-11,COMPLETE
60,2.3782837929576828,27.944710533515806,6.919860266549008,2023-05-30 23:39:09.258110,2023-05-30 23:42:45.781541,0 days 00:03:36.523431,2.186621091854318e-06,unet++,negone,90,mse,1.7497141572062836e-06,COMPLETE
61,0.9794511834549422,0.5963234414504085,0.8500278244374931,2023-05-30 23:42:45.908041,2023-05-30 23:47:35.286927,0 days 00:04:49.378886,0.00025072713441067965,unet,minmax,55,xsigmoid,9.007889186180289e-07,COMPLETE
62,1.046226298508629,1.7792873227626351,1.4502784303853564,2023-05-30 23:44:42.310297,2023-05-30 23:56:58.903054,0 days 00:12:16.592757,4.661121999173718e-05,fpn,minmax,38,smooth,0.00012488540012829387,COMPLETE
63,1.0825414100612258,3.8205670310605955,2.1663487433788817,2023-05-30 23:47:35.392657,2023-05-30 23:51:21.278307,0 days 00:03:45.885650,0.0010109401466960669,unet,zscore,75,xsigmoid,4.241290503552329e-08,COMPLETE
64,1.160218047208851,4.086234509411634,2.256285342420898,2023-05-30 23:51:21.363299,2023-05-30 23:59:17.030609,0 days 00:07:55.667310,6.582471301178855e-05,deeplabv3,zscore,60,mse,7.627689075454885e-09,COMPLETE
65,1.126131033596005,2.502090687147312,1.8287370258106554,2023-05-30 23:56:59.003811,2023-05-31 00:01:02.590228,0 days 00:04:03.586417,3.124831471831867e-05,deeplabv3,minmax,41,logcosh,8.979427848776178e-12,COMPLETE
66,1.0364037701495064,3.395332632018668,2.2545345485328876,2023-05-30 23:59:17.122671,2023-05-31 00:21:32.740220,0 days 00:22:15.617549,1.532929296334742e-05,manet,negone,72,logcosh,2.2925092021508307e-11,COMPLETE
67,0.9595345449682441,0.3751236925740018,0.6622440848155516,2023-05-31 00:01:02.690800,2023-05-31 00:14:46.124180,0 days 00:13:43.433380,0.006051196638551918,unet,minmax,19,logcosh,9.333614979831433e-12,COMPLETE
68,1.1497227781143442,3.7169787588797947,2.1086239344550974,2023-05-31 00:14:46.244557,2023-05-31 00:20:58.837246,0 days 00:06:12.592689,0.0038114665976858738,fpn,zscore,26,xsigmoid,3.029566961319655e-07,COMPLETE
69,1.0531174757049022,1.347397944476837,1.1602708166610778,2023-05-31 00:20:58.951646,2023-05-31 00:36:13.711033,0 days 00:15:14.759387,0.00032231148642782444,fpn,negone,102,xsigmoid,2.0853356425761826e-10,COMPLETE
70,1.0225016544358103,1.9200018167988289,1.5368984948369102,2023-05-31 00:21:32.830185,2023-05-31 00:52:12.872543,0 days 00:30:40.042358,3.330214868719811e-06,unet++,negone,7,xsigmoid,3.244944872607671e-11,COMPLETE
71,9.466070796855576,84.24811021130631,13.045999107815362,2023-05-31 00:36:13.833754,2023-05-31 00:39:06.333761,0 days 00:02:52.500007,0.0009493527918429322,fpn,minmax,115,mse,1.4117491961052773e-10,COMPLETE
72,1.0442531681635654,4.5491546045337525,2.465701458219517,2023-05-31 00:39:06.423403,2023-05-31 01:08:40.335279,0 days 00:29:33.911876,3.5580408583870545e-06,unet++,zscore,24,xtanh,9.043315591572403e-08,COMPLETE
73,1.1890190471736661,4.105359786936511,2.280225898469162,2023-05-31 00:52:34.757071,2023-05-31 01:16:45.879590,0 days 00:24:11.122519,3.340745336605778e-06,pspnet,zscore,113,huber,2.0819451176856854e-12,COMPLETE
74,1.0523018217757574,4.214404048200536,2.344921365258586,2023-05-31 01:09:03.578961,2023-05-31 01:17:10.312580,0 days 00:08:06.733619,2.837455961218e-05,unet,zscore,32,mse,5.556032879084199e-05,COMPLETE
75,1.2238200504989116,5.669273088077395,2.8108862660019596,2023-05-31 01:16:46.010242,2023-05-31 01:52:09.454945,0 days 00:35:23.444703,1.527595290079141e-06,deeplabv3+,zscore,109,mae,3.532782093351768e-12,COMPLETE
76,1.0372163863372217,1.3945820375272542,1.18462892719803,2023-05-31 01:17:10.386286,2023-05-31 01:27:45.325149,0 days 00:10:34.938863,0.00037277713845134286,deeplabv3+,negone,91,smooth,2.836638916561599e-11,COMPLETE
77,6.191016993778459,13.576409451098671,4.582213175024649,2023-05-31 01:27:45.484113,2023-05-31 01:30:50.417452,0 days 00:03:04.933339,1.7112257263443811e-06,linknet,negone,114,xtanh,8.040818088092283e-10,COMPLETE
78,1.0162761703382326,0.9681555335875981,0.9378150816224331,2023-05-31 01:30:50.563437,2023-05-31 01:37:34.581206,0 days 00:06:44.017769,0.001131867566466488,deeplabv3+,minmax,39,xsigmoid,5.5324738960814896e-05,COMPLETE
79,1.0874440767472817,1.6268459144195957,1.2967926993660492,2023-05-31 01:37:34.776713,2023-05-31 01:47:15.339932,0 days 00:09:40.563219,0.00012809519414264678,pspnet,negone,39,mae,6.598102030103962e-09,COMPLETE
80,1.0606582183628679,3.961633141614353,2.2319230322832846,2023-05-31 01:47:15.501933,2023-05-31 01:57:09.457147,0 days 00:09:53.955214,0.00014458221650132124,manet,zscore,124,mse,2.714886376211366e-11,COMPLETE
