,trial,learning_rate,weight_decay,train_batch_size,training_loss,model_name,epoch,lr,train_loss,train_corr,tcesm_corr,tcorr_cust,tmse_cust,tmae_cust,tgrad_inp,tgrad_lbl,tgrad_out,valid_loss,valid_corr,vcesm_corr,vcorr_cust,vmse_cust,vmae_cust,vgrad_inp,vgrad_lbl,vgrad_out,vmse_extreme_outp,vmse_extreme_cesm,valid_perc,valid_mse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_mse,valid_cesm_mae,valid_cesm_ssim,evals_loss,evals_corr,ecesm_corr,ecorr_cust,emse_cust,emae_cust,egrad_inp,egrad_lbl,egrad_out,emse_extreme_outp,emse_extreme_cesm,evals_perc,evals_mse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_mse,evals_cesm_mae,evals_cesm_ssim,total_params,train_params
43,405,0.00030388955924361263,1.8629640617836383e-08,6,huber,manet,11,3.392470685168267e-07,0.0004705696761527139,0.9671005343181499,0.9323230783144633,0.9640165283703958,0.44531724461610767,0.7124686344810154,0.04082523102662275,0.04506997476926143,0.04227789209148054,0.0004163167905062437,0.9684643298387527,0.932531088590622,0.9628885173644678,0.39069709926843643,0.6664405018091202,0.041432624747188236,0.04519815883551138,0.04290306352623644,0.0009434417297597975,0.0023433543974533677,0.0029591371421702206,0.0008326335810124874,0.021147024352103472,0.9220313131809235,0.038968550972640514,0.002122970181517303,0.031707813031971455,0.8308099061250687,0.0004339538689237088,0.966000771522522,0.9367727041244507,0.9697414189742739,0.5076844394207001,0.7547071933746338,0.01953033798029829,0.027860678935168397,0.02316365410883101,0.0011082236538641154,0.0017824707785621286,0.002874708641320467,0.0008679077378474176,0.021504651010036468,0.9207831740379333,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,31786769,31786769
44,415,6.834673504025005e-06,2.4052961538004353e-12,14,mae,manet,47,2.4464234594648e-06,0.0010934319846347858,0.9237358347844269,0.9325662841231136,1.0096631444773223,1.0457154916504683,1.1278830332271124,0.040095650945101625,0.044675056979958036,0.04200661367370258,0.0008401024533668533,0.9341271966695786,0.9317914545536041,0.997506648965654,0.7834454476833344,0.9895052462816238,0.03632579052706278,0.041498641532562545,0.03703680252610114,0.002120175107847899,0.0024037716211751103,0.016136668855324388,0.0016802049067337066,0.031299257185310125,0.7644724100828171,0.0406917342916131,0.002154857211280614,0.0316877169534564,0.8281883299350739,0.0009505956666544079,0.9235111236572265,0.9367727041244507,1.0145366901090627,1.0943559288978577,1.1392784357070922,0.01953033798029829,0.027860678935168397,0.027120105760775948,0.0022398531436920166,0.0017824707785621286,0.016366921178996564,0.0019011913333088159,0.03252338543534279,0.7519236445426941,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,31786769,31786769
45,443,1.0380008325907347e-06,3.811676705111356e-05,4,huber,unet++,14,9.745967645963035e-08,0.00388841242596939,0.7671547258533717,0.9306580562522446,1.21383557483239,3.8461585085173158,2.232893187066783,0.03912993627059781,0.04379555705205162,0.05740443607820806,0.004591484204865992,0.7242107689380646,0.9285208731889725,1.2825368018865042,4.070995509624481,2.304895579814911,0.04142390953991,0.04529760730582032,0.06034328916958017,0.009338688803836703,0.0024922557058744133,0.1617310829460621,0.009182968409731984,0.07475564628839493,0.31305021047592163,0.039762736298143864,0.0022714943042956293,0.032496752217411995,0.8286918848752975,0.00495118023827672,0.7098576307296753,0.9367727041244507,1.3215617098522197,5.75414342880249,2.6718900203704834,0.01953033798029829,0.027860678935168397,0.05699289190681034,0.00878686672076583,0.0017824707785621286,0.15440963804721833,0.00990236047655344,0.07616339921951294,0.3192342698574066,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,26081745,26081745
46,453,9.032179973036891e-06,4.430002813703489e-06,32,huber,manet,24,1.471330325809371e-06,0.0020493481028825045,0.8496207308769226,0.9329802680015564,1.0984143122453272,1.9344848775863648,1.3862832689285278,0.038891861954072314,0.04372967057028241,0.04443248449941816,0.0014883932890370488,0.8833397924900055,0.9300421923398972,1.0531787485714015,1.3501008450984955,1.2770046889781952,0.04010999447134568,0.04524142548908358,0.04348129645095457,0.0028536078752949834,0.00227634931798093,0.04748193174600601,0.0029767865780740976,0.04062295984476805,0.648963138461113,0.04019409231841564,0.002195995068177581,0.031793393194675446,0.8305290043354034,0.0014643323374912143,0.8842657923698425,0.9367727041244507,1.0603860277722663,1.7037955522537231,1.3947680711746215,0.01953033798029829,0.027860678935168397,0.030439877127008526,0.0028586710337549447,0.0017824707785621286,0.041753799095749854,0.0029286646749824286,0.039725632220506665,0.6546563386917115,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,31786769,31786769
47,467,3.8819121517287425e-05,9.11645057422115e-12,11,huber,deeplabv3+,27,1.2566251889835837e-05,0.001237981008986632,0.9060925499598185,0.9332029223442078,1.0299534719871737,1.181048792997996,1.0947968943913777,0.039530115523370914,0.0442073945207901,0.03873055351006169,0.0011009546578861773,0.911962166428566,0.9280100166797638,1.0175927355319998,0.9629531353712082,0.9527612775564194,0.03785630307456923,0.042140027518763716,0.03567562969856078,0.002522643015254289,0.00228994560893625,0.08894388936460018,0.0022019093157723546,0.03108955267816782,0.7392252534627914,0.04065237566828728,0.002290055272169411,0.032630193047225475,0.8279165178537369,0.0010796620277687906,0.9121875286102294,0.9367727041244507,1.027005706761202,1.2624698162078858,1.1081451654434205,0.01953033798029829,0.027860678935168397,0.018766494914713633,0.0025559058412909508,0.0017824707785621286,0.08286534994840622,0.0021593240555375813,0.03154966719448567,0.7375218629837036,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,22440593,22440593
48,476,0.0004482623478123654,0.0003976784289846921,11,huber,unet++,10,5.134727464447121e-07,0.0004557129410871615,0.9698406068483988,0.9327972841262817,0.9617980944632192,0.43155018051465355,0.7090866088867187,0.04049611242883564,0.04471710167869895,0.042194867724364406,0.0004274609236745164,0.9670552015304565,0.927597388625145,0.9591960195407963,0.38249576836824417,0.6641956269741058,0.04018787087351105,0.04421152288826839,0.041824131245886645,0.0009719073714222759,0.0024969803635030985,0.0025745549355633557,0.0008549218473490328,0.02145876409485936,0.935029998421669,0.03978964500129223,0.002262414840515703,0.03240399621427059,0.8295901566743851,0.00041562884580343963,0.9672948241233825,0.9367727041244507,0.9684406941602891,0.48476401567459104,0.7389155268669129,0.01953033798029829,0.027860678935168397,0.023331470921891202,0.0010249474551528692,0.0017824707785621286,0.002460179990157485,0.0008312576916068793,0.021062279120087624,0.9326836347579956,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,26081745,26081745
49,479,0.0007927502784768109,6.5853381832666566e-06,11,huber,unet++,10,9.080746235342626e-07,0.00043091220082715155,0.9705050913492839,0.9327972841262817,0.9611394044724254,0.4079879891872406,0.6851158666610718,0.04049611242883564,0.04471710167869895,0.04215798234416463,0.0004223065116093494,0.9676050841808319,0.927597388625145,0.9586516480760803,0.3781280592083931,0.6576128453016281,0.04018787087351105,0.04421152288826839,0.04197658611828344,0.0009259226935682818,0.0024969803635030985,0.002484072290826589,0.0008446130232186988,0.021242393646389246,0.9403003603219986,0.03978964500129223,0.002262414840515703,0.03240399621427059,0.8295901566743851,0.0004014153499156237,0.9685320258140564,0.9367727041244507,0.9672033375971706,0.46837124824523924,0.7260060429573059,0.01953033798029829,0.027860678935168397,0.02323379534251905,0.0010000342153944075,0.0017824707785621286,0.0026705034077167513,0.0008028306998312474,0.020691565424203872,0.9392351508140564,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,26081745,26081745
50,485,0.00023010542059827255,1.0059297393924445e-09,35,logcosh,manet,24,5.597269480536443e-05,0.0004667572742935432,0.9668673898862756,0.9331961922023607,0.9651727662815908,0.44073721248170605,0.7100689281588015,0.0388546867198468,0.04366881294225072,0.04043639212027062,0.00045164208859205246,0.9657012969255447,0.9300421923398972,0.9630666716443778,0.41148584336042404,0.6963560581207275,0.04010999447134568,0.04524142548908358,0.04148900681897246,0.0010054012818727642,0.00227634931798093,0.0033224859507754445,0.0009032841771841049,0.02213939791545272,0.9208460748195648,0.04019409231841564,0.002195995068177581,0.031793393194675446,0.8305290043354034,0.0004565458162687719,0.9648834705352783,0.9367727041244507,0.9708617366898075,0.5329920649528503,0.7803612112998962,0.01953033798029829,0.027860678935168397,0.023227784251533122,0.0010964257642626762,0.0017824707785621286,0.0036526686511933804,0.0009130916325375438,0.022245338931679726,0.9178452610969543,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,31786769,31786769
51,492,4.649226064238096e-06,3.5948763254331308e-09,27,xsigmoid,manet,14,2.2382153241294064e-06,0.004576809052377939,0.6769465029239654,0.9333508272965749,1.3794342994676612,4.331013329823812,2.224692193667094,0.040652940582636354,0.04508720670042086,0.05389987577357182,0.004366356821265072,0.6764599233865738,0.9297954142093658,1.3775383708379398,4.05989271402359,2.1380501687526703,0.03985108153088904,0.04473823069714345,0.05145754898402246,0.02332987345289439,0.0019724569574464113,0.12828771024942398,0.008732713642530143,0.06803265027701855,0.3699352517724037,0.03989257384091616,0.0021925113978795707,0.03191037708893418,0.8297822028398514,0.004028770886361599,0.7007951378822327,0.9367727041244507,1.3453728970184498,4.597145462036133,2.340684652328491,0.01953033798029829,0.027860678935168397,0.04493682765483672,0.015845196787267923,0.0017824707785621286,0.12114155888557435,0.008057541772723198,0.06688902229070663,0.37755308151245115,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,31786769,31786769
52,498,8.156614425553465e-05,9.167430062782275e-08,10,huber,manet,23,3.734782748496971e-05,0.0005720419558859149,0.962616649736841,0.9326886347977512,0.9689090374802363,0.5447105233927807,0.7955456167818552,0.04037695396774121,0.044732352107911946,0.04176183985643953,0.0005094913358334452,0.9608439207077026,0.9286442995071411,0.9664989109704483,0.46670035272836685,0.7254930138587952,0.038510661114410094,0.043853950660311725,0.03971783020459001,0.0011346511164447293,0.0022997225169092417,0.005218675243668258,0.0010189826716668904,0.023178585804998875,0.8995227664709091,0.04022965859621763,0.0022111820871941745,0.03201004024595022,0.8294917047023773,0.0004910974064841866,0.961534321308136,0.9367727041244507,0.9742490006047978,0.5714259386062622,0.8032310724258422,0.01953033798029829,0.027860678935168397,0.023156370562524557,0.0012918367981910705,0.0017824707785621286,0.003948346851393581,0.0009821948129683732,0.022902274504303932,0.904822826385498,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,31786769,31786769
