,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,valid_mae,valid_corr,valid_perc,valid_rmse,valid_ssim,lr,pruned
11,12,0.0004055500943470642,zscore,3.391591998120981e-06,50,xtanh,deeplabv3,1,0.11538265338715385,0.829688310623169,0.3634363003075123,0.7729327380657196,0.34552520141005516,0.29743713792413473,-10.0,0.0004055500943470642,0
12,13,0.00022771567294139415,negone,4.676067930360886e-11,54,huber,manet,1,0.005307006373186596,0.9131164662539959,0.08518536761403084,0.8932222574949265,0.08257104456424713,0.012382565764710307,-10.0,0.00022771567294139415,0
13,14,0.008352610450888687,zscore,2.8619306632626226e-12,117,xsigmoid,fpn,0,0.21425929878439223,0.019084577581712177,0.5606871545314789,0.11508254893124104,0.44784658402204514,0.467959962785244,-10.0,0.008352610450888687,0
14,15,3.6867630102314e-05,negone,1.466849328825584e-11,187,huber,pspnet,1,0.010662108194082975,0.8131095916032791,0.2129313237965107,-0.30886831879615784,0.10864710249006748,0.07299796212464571,-10.0,3.6867630102314e-05,0
15,16,2.0322607846052864e-06,zscore,2.0105536997210362e-05,56,mse,deeplabv3,1,0.2530865579843521,0.4149127771457036,0.6552049815654755,0.5623744130134583,0.39385395497083664,0.7230992130935192,-10.0,2.0322607846052864e-06,0
16,17,0.0054141807928927855,None,2.2735275985446087e-05,136,xtanh,unet++,1,278.5211588541667,-0.024467182500908773,277.0906677246094,,0.12560342997312546,76986.60546875,-10.0,0.0054141807928927855,0
17,18,2.3488407820453497e-05,zscore,0.00023688369531728445,37,mae,manet,1,0.24470781502516373,0.5749030916587167,0.5958300828933716,0.6682102084159851,0.29042475298047066,0.5905025191605091,-10.0,2.3488407820453497e-05,0
18,20,0.00020716400060735048,negone,2.2929601628479645e-10,196,xtanh,unet,0,0.02421763865277171,0.45679963380098343,0.19455451518297195,0.3638489693403244,0.2109299786388874,0.05900437384843826,-10.0,0.00020716400060735048,0
19,21,0.00014157357799881665,negone,8.885540804812545e-06,180,xtanh,pspnet,1,0.007289520464837551,0.8775971680879593,0.1921127550303936,0.44786161184310913,0.10294578596949577,0.05599023588001728,-10.0,0.00014157357799881665,0
20,22,0.0001309188679979348,negone,8.045954279353131e-06,195,logcosh,deeplabv3,1,0.006786458543501794,0.9043397903442383,0.21701563335955143,0.6438005268573761,0.1114424429833889,0.07906595198437572,-10.0,0.0001309188679979348,0
21,23,1.249035072322288e-06,negone,2.1304568060142269e-07,247,xtanh,linknet,1,0.05210361878077189,0.025068168838818867,0.2086394466459751,-0.07805909775197506,0.09377033077180386,0.07034185621887445,-10.0,1.249035072322288e-06,0
22,24,0.0001096545356083123,None,4.547159921390339e-09,56,logcosh,manet,1,278.723291015625,-0.04362414851784706,277.4618835449219,0.10443433932960033,0.43231503665447235,77192.109375,-10.0,0.0001096545356083123,0
23,25,0.00042722580759471445,None,6.906732333450973e-07,104,mse,manet,1,278.687557220459,0.0991996405646205,277.39537048339844,-0.02951681218110025,0.4023948684334755,77155.634765625,-10.0,0.00042722580759471445,0
24,27,0.0007736652294190287,minmax,1.6344112364257165e-11,222,mse,manet,1,0.004836906058092912,0.7344680428504944,0.21078535169363022,0.4175107777118683,0.1556751448661089,0.05785052478313446,0.3548263907432556,0.0007736652294190287,0
25,28,2.786831184263752e-06,None,0.000641340922710593,31,logcosh,fpn,1,278.83158111572266,0.1167544565562691,277.37523651123047,0.07846740540117025,0.3084269016981125,77143.173828125,-10.0,2.786831184263752e-06,0
26,29,0.0023291513071583376,zscore,2.374018150257081e-09,53,mse,linknet,1,0.11953365057706833,0.8455078788101673,0.3775933273136616,0.8195837587118149,0.2579782772809267,0.3139194883406162,-10.0,0.0023291513071583376,0
27,30,0.006431459951508699,minmax,4.781046877694838e-10,81,smooth,deeplabv3,1,0.0063167060259729626,0.529602101445198,0.10053466819226742,0.39772529155015945,0.026044446509331465,0.015546539332717657,0.6022132188081741,0.006431459951508699,0
28,31,6.651989066397734e-05,minmax,4.282320394862599e-08,181,smooth,deeplabv3+,0,0.02514946274459362,0.3288903327193111,0.19552835449576378,0.018767589703202248,0.029969854280352592,0.04954424733296037,0.7063721269369125,6.651989066397734e-05,0
29,34,4.155680026243774e-05,minmax,9.32189162407012e-09,214,xsigmoid,pspnet,0,0.026883407961577177,0.41314316913485527,0.17261538468301296,-0.4518792927265167,0.026795633602887392,0.040643139742314816,0.5933645516633987,4.155680026243774e-05,0
30,35,0.000229329993855251,minmax,2.0861334647023856e-05,101,huber,deeplabv3,1,0.007773035380523652,0.8025758489966393,0.18866786547005177,0.4663935601711273,0.029497938696295023,0.046129303984344006,0.757614329457283,0.000229329993855251,0
31,36,0.0015928185381963473,zscore,6.267158534814093e-12,19,xsigmoid,linknet,1,0.11452860846791578,0.8445461210997208,0.35234585404396057,0.7960153967142105,0.2544875741004944,0.29528282955288887,-10.0,0.0015928185381963473,0
32,37,0.001020449706829618,negone,1.1835671296190082e-12,159,mae,manet,1,0.004861440509557724,0.9156940340995788,0.43276501446962357,0.4181256741285324,0.22392217069864273,0.24927173554897308,-10.0,0.001020449706829618,0
33,38,4.556070958242717e-06,None,6.13340905112872e-11,183,xsigmoid,manet,1,278.8546142578125,0.10522388480603695,277.6177291870117,-0.029147902503609657,0.5468429177999496,77279.302734375,-10.0,4.556070958242717e-06,0
34,39,2.546683225912011e-05,zscore,5.217820732627534e-07,27,logcosh,manet,1,0.23253514803946018,0.6690926197916269,0.5625670105218887,0.7091999799013138,0.282407745718956,0.530946858227253,-10.0,2.546683225912011e-05,0
35,40,0.0003828088320880797,minmax,6.937687049032005e-12,185,xsigmoid,deeplabv3,1,0.014180332887917757,0.6725959032773972,0.18520345725119114,0.40765078365802765,0.029763299971818924,0.044536298140883446,0.7301411032676697,0.0003828088320880797,0
36,41,0.006131992733110148,zscore,9.683339444428788e-07,181,smooth,deeplabv3+,0,0.23611539602279663,0.26119778491556644,0.5506095737218857,0.21366223320364952,0.4164099022746086,0.45696262270212173,-10.0,0.006131992733110148,0
37,42,0.0013713447487364776,None,1.8318954179854323e-08,23,xtanh,unet++,1,278.2842278731497,-0.0297578427033793,277.09849548339844,-0.007667516125366092,0.12741824239492416,76990.943359375,-10.0,0.0013713447487364776,0
