number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
0,1.083511178019095,4.211939991221113,2.3411359797088305,2023-05-10 14:56:19.724920,2023-05-10 15:14:11.392666,0 days 00:17:51.667746,1.3548983981573254e-05,linknet,zscore,20,xsigmoid,3.4613408493270094e-06,COMPLETE
1,1.0986838446794442,1.8811997154711129,1.4529551960167273,2023-05-10 15:14:11.493800,2023-05-10 15:37:51.680786,0 days 00:23:40.186986,3.5669352369174383e-06,manet,minmax,49,smooth,6.120061875024669e-09,COMPLETE
2,1.0612703671027754,1.3856854639236653,1.1955605027943454,2023-05-10 15:37:51.792420,2023-05-10 15:52:08.885140,0 days 00:14:17.092720,4.6344195535612443e-05,pspnet,minmax,4,xtanh,1.0447417914055498e-07,COMPLETE
3,1.1948350099210727,3.8002859171653958,2.1802256663981634,2023-05-10 15:52:08.969842,2023-05-10 16:00:51.638240,0 days 00:08:42.668398,0.004026600968340341,pspnet,zscore,36,mse,1.688680100888438e-10,COMPLETE
4,0.9570071098348536,0.3439020664584843,0.6406596770502122,2023-05-10 16:00:51.795058,2023-05-10 16:13:01.401220,0 days 00:12:09.606162,0.001547676565813708,unet++,minmax,52,xsigmoid,1.4854758080407468e-10,COMPLETE
5,0.9656692974660082,0.4381996944033206,0.7270406954212975,2023-05-10 16:13:01.509597,2023-05-10 16:27:41.272019,0 days 00:14:39.762422,0.0002807388496760832,linknet,minmax,41,smooth,0.00017240598667379932,COMPLETE
6,1.478399632524736,16.427225072924248,4.998763106286992,2023-05-10 16:27:41.338652,2023-05-10 16:45:03.957232,0 days 00:17:22.618580,1.4010690805632776e-06,fpn,minmax,52,mse,3.66615242098248e-10,COMPLETE
7,1.0602752806182012,1.3651128559248071,1.168475963354797,2023-05-10 16:46:03.063451,2023-05-10 16:55:40.952460,0 days 00:09:37.889009,0.001258746498138382,pspnet,minmax,20,smooth,1.242582641464375e-12,COMPLETE
8,1.131751189303451,3.8038640679812192,2.149307322592137,2023-05-10 16:55:41.087829,2023-05-10 17:00:07.559495,0 days 00:04:26.471666,0.00011975993884522177,deeplabv3+,zscore,12,xtanh,0.0004903908171456615,COMPLETE
9,1.0173762263889683,0.974762679600298,0.9416313350198077,2023-05-10 17:00:07.720108,2023-05-10 17:10:00.075321,0 days 00:09:52.355213,0.0002554403241695504,deeplabv3+,minmax,26,mae,4.408748847385961e-10,COMPLETE
10,1.1546579330422124,3.718474341092303,2.1059878875155786,2023-05-10 17:10:00.170042,2023-05-10 17:17:46.043619,0 days 00:07:45.873577,0.00655709277514773,fpn,zscore,47,huber,5.68747731148446e-06,COMPLETE
11,1.115062384039545,1.868601989723156,1.514441017651845,2023-05-10 17:17:46.188031,2023-05-10 17:47:58.760579,0 days 00:30:12.572548,5.876499352538339e-05,fpn,negone,108,mse,0.00022842975844502254,COMPLETE
12,12.115047625911009,12089.610340382089,162.55816974723555,2023-05-10 17:47:58.899556,2023-05-10 17:50:55.720329,0 days 00:02:56.820773,3.9484567155587445e-05,manet,None,50,smooth,1.418165093097668e-05,COMPLETE
13,1.1653507089250148,8.602262860557335,3.7891356180232667,2023-05-10 17:50:55.990255,2023-05-10 18:20:12.873372,0 days 00:29:16.883117,2.951154740309098e-06,deeplabv3+,negone,67,huber,1.9335257469934938e-08,COMPLETE
14,0.9916059620507224,0.8723889710149144,0.8846414609736669,2023-05-10 18:21:12.298475,2023-05-10 18:34:23.751466,0 days 00:13:11.452991,0.0008602458776901623,unet,negone,65,huber,4.1386239986853106e-07,COMPLETE
15,2.9256425798008103,12131.921673050158,162.84276821581213,2023-05-10 18:34:23.860436,2023-05-10 18:37:09.003557,0 days 00:02:45.143121,2.108931132428922e-06,fpn,None,68,xtanh,2.47945056408929e-08,COMPLETE
16,0.9602456937599414,0.37555441734269224,0.6605959265894583,2023-05-10 18:37:09.099635,2023-05-10 18:49:30.092716,0 days 00:12:20.993081,0.0008893855368110295,manet,minmax,75,mse,1.4832865686309087e-09,COMPLETE
17,1.0797157126957706,5.196142193398869,2.6674931190249933,2023-05-10 18:49:30.183219,2023-05-10 19:22:44.547177,0 days 00:33:14.363958,2.3653519472297794e-06,unet++,zscore,70,xsigmoid,8.081280317380018e-06,COMPLETE
18,0.9907953848155664,0.9738114919347339,0.9646407489922999,2023-05-10 19:22:44.667051,2023-05-10 19:39:26.700229,0 days 00:16:42.033178,0.00037808941820237607,unet++,negone,48,huber,6.157290656030438e-11,COMPLETE
19,15.51499533270836,12091.872406877543,162.5734395722149,2023-05-10 19:39:26.963767,2023-05-10 19:42:01.704556,0 days 00:02:34.740789,2.506917968256088e-06,manet,None,39,xtanh,4.412270593386939e-06,COMPLETE
20,1.1401703786512243,3.6934916744396142,2.095031619953151,2023-05-10 19:42:01.764875,2023-05-10 19:52:21.979817,0 days 00:10:20.214942,0.004409058769438447,deeplabv3+,zscore,108,xtanh,2.95940885560841e-06,COMPLETE
