,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
0,55,2.1883997969026672e-05,None,0.0001031486182584722,55,mse,deeplabv3+,0,284.6079349517822,0.033599438382815094,0.932660024613142,27.758202800501692,285.4544982910156,0.11448041163384914,0.929741159081459,8.121399511168045,0.3662634789943695,81813.39453125,285.9544982910156,-10.0,0.0013343539321795106,6.760618567466736,1.758228361606598,-10.0,12101.465822217835,162.63786009555776,284.9225219726562,0.11951459795236588,0.9367727041244507,7.838144629811781,0.3657531559467316,81509.1234375,285.4225219726562,-10.0,0.0012691836105659603,5.649930572509765,1.629827332496643,-10.0,14426.570803204171,175.12439280020732,2.1883997969026672e-05
1,56,0.00028230705715962,negone,2.986112205500461e-07,24,smooth,pspnet,13,0.007559414694292678,0.8556460324260924,0.9326309114694595,1.089972811333075,0.0066481794929131866,0.8594672679901123,0.9297411292791367,1.0817644416562386,0.28104615211486816,0.013296358985826373,0.07821191661059856,-10.0,0.06342713069170713,0.00829414848703891,0.06158400885760784,-10.0,1.6031011509625503,1.2700036594148512,0.006965797767043114,0.8605480432510376,0.9367727518081665,1.088576935541172,0.27250936031341555,0.013931595534086228,0.08148044347763062,-10.0,0.05653894171118736,0.006931520160287618,0.057086612284183505,-10.0,2.009890357659747,1.4273126433219037,2.8230705715962003e-05
2,57,2.196358909902674e-05,minmax,4.3571121360021945e-10,42,smooth,deeplabv3+,26,0.0013158582150936127,0.8984621082033429,0.9327593417394728,1.0381732665439996,0.001274112903047353,0.9022137820720673,0.9297411292791367,1.030510891935001,0.08910614065825939,0.002548225806094706,0.035465558990836143,0.7219715714454651,0.040159973315894604,0.0020735371217597276,0.03079200442880392,0.8299514651298523,1.2289270249148612,1.1517781855623668,0.001206595660187304,0.9069409608840943,0.9367727041244507,1.0328927069423308,0.08262167572975158,0.002413191320374608,0.03414914682507515,0.7279015779495239,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,1.392589945391993,1.1963977352545252,2.196358909902674e-05
3,58,0.007048579992028126,negone,4.0946315456983936e-08,6,mae,deeplabv3,17,0.007453048547894574,0.8558067132015618,0.9320852448340176,1.0891305600386083,0.006663070060312748,0.8633674830198288,0.9297411292791367,1.0768776304003835,0.27376745641231537,0.013326140120625496,0.07782536931335926,-10.0,0.06342713069170713,0.00829414848703891,0.06158400885760784,-10.0,1.6066917708852178,1.2637269115315968,0.006966895330697298,0.8642452836036683,0.9367727518081665,1.0839200046334976,0.2661505967378616,0.013933790661394597,0.08083199262619019,-10.0,0.05653894171118736,0.006931520160287618,0.057086612284183505,-10.0,2.01020704537869,1.4159535728587211,0.0007048579992028126
4,59,0.00030771930257469276,None,1.00438766639592e-08,45,xtanh,pspnet,0,284.1401062011719,0.0518301066548624,0.9322402634118733,17.98646237831764,284.92478942871094,0.10286079905927181,0.929741159081459,9.03882885982357,0.12601067498326302,81510.732421875,285.42478942871094,-10.0,0.0013343539321795106,6.760618567466736,1.758228361606598,-10.0,12056.697417321948,162.33658588461248,284.39312744140625,0.0896145835518837,0.9367727041244507,10.45335108411336,0.12594444453716278,81207.2078125,284.89312744140625,-10.0,0.0012691836105659603,5.649930572509765,1.629827332496643,-10.0,14373.13375276164,174.79957647108182,0.00030771930257469276
5,60,0.004959492953216965,None,0.00021879272338152107,62,xtanh,deeplabv3+,4,284.12443106515065,0.10878895382796015,0.933031473840986,8.57652768052619,284.9225540161133,0.3739798665046692,0.929741159081459,2.486072760469984,0.12510920874774456,81509.45703125,285.4225540161133,-10.0,0.0013343539321795106,6.760618567466736,1.758228361606598,-10.0,12056.508767331969,162.33531448401033,284.39091796875,0.4027488172054291,0.9367727041244507,2.3259477473440557,0.12505770921707154,81205.9609375,284.89091796875,-10.0,0.0012691836105659603,5.649930572509765,1.629827332496643,-10.0,14372.913064209099,174.79822082277957,0.004959492953216965
6,61,1.0408588226170338e-05,zscore,1.011708817690221e-09,108,xsigmoid,unet++,73,0.35205617919564247,0.8963244333863258,0.9329455122351646,1.0408569458610917,0.3138829283416271,0.8903850317001343,0.9297411441802979,1.0442012287706763,0.22302773408591747,0.7130919322371483,0.6595223248004913,-10.0,0.08467775583267212,0.15528537705540657,0.26646939665079117,-10.0,4.592138331110943,2.47503965967543,0.3367349475622177,0.886515760421753,0.9367727279663086,1.0566904388937726,0.25583066046237946,0.775695550441742,0.6861509919166565,-10.0,0.07470981180667877,0.12977386265993118,0.2470095008611679,-10.0,5.9772864469206,2.7778323891367593,1.0408588226170338e-05
7,62,1.2820408239553284e-05,minmax,0.0006839597384025426,102,xtanh,deeplabv3+,23,0.002294314937898889,0.8239080682396889,0.9324578568339348,1.1317498793599226,0.0024193456629291177,0.8510166704654694,0.9297411292791367,1.0925063650875468,0.10164848528802395,0.004838691325858235,0.05413073115050793,0.6354374140501022,0.040159973315894604,0.0020735371217597276,0.03079200442880392,0.8299514651298523,2.333544586726199,1.757947628114529,0.002504080627113581,0.854193139076233,0.9367727041244507,1.0966755190020883,0.09651762545108795,0.005008161254227162,0.05436937138438225,0.6498993277549744,0.038899869471788404,0.0017328800400719046,0.028543306142091752,0.8308517575263977,2.890079600674119,1.9048028673947395,1.2820408239553284e-05
