,trial,learning_rate,norm,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,valid_mae,valid_corr,valid_perc,valid_rmse,valid_ssim,lr,pruned
0,0,1.3317799173970312e-05,minmax,35,mse,unet,9,0.009736431539058685,0.7532476329803467,0.10618782415986061,0.7427444905042648,0.11982319317758083,0.015969430562108755,0.455294594168663,1.3317799173970312e-05,0
1,2,0.005975780397713088,minmax,54,mae,unet,9,0.0005401073049142724,0.9642153605818748,0.026848633773624897,0.9495371729135513,0.009436255320906639,0.0012548328086268157,0.9001494497060776,0.0005975780397713088,0
2,4,0.00322718915180976,zscore,46,mae,unet,9,0.10887430137709568,0.837814167926186,0.3442458026111126,0.7884427607059479,0.28733717277646065,0.2887001093477011,-10.0,0.00032271891518097603,0
3,6,0.00538537001126899,zscore,50,mse,unet,6,0.10966312359361087,0.8290477745673236,0.3473173677921295,0.7774192094802856,0.3309222459793091,0.28971579391509295,-10.0,0.00538537001126899,0
4,8,0.0018379724779196875,minmax,21,mse,unet,7,0.0006516567879034916,0.9660418558688391,0.025115662720054388,0.9552781283855438,0.006683369632810354,0.001094536215532571,0.9054254442453384,0.00018379724779196878,0
