number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
23,1.0913961217942096,1.6959128749517887,1.3317896081147487,2023-05-15 17:55:25.274364,2023-05-15 18:08:25.223274,0 days 00:12:59.948910,0.00578869735910796,deeplabv3,negone,111,logcosh,2.2976488905072662e-07,COMPLETE
24,1.0970145333188128,1.7183931778642545,1.347425704940948,2023-05-15 18:03:01.585508,2023-05-15 18:07:20.413060,0 days 00:04:18.827552,0.004867103624458612,pspnet,minmax,30,xsigmoid,5.54236892149174e-06,COMPLETE
25,1.0858250447798898,3.9774059179062062,2.2296949270146498,2023-05-15 18:07:20.553436,2023-05-15 18:18:54.866416,0 days 00:11:34.312980,6.604706818648971e-05,linknet,zscore,26,huber,1.639615821021539e-08,COMPLETE
26,0.9708142999122836,0.5134933174604852,0.7906584082473938,2023-05-15 18:08:25.664235,2023-05-15 18:25:48.532956,0 days 00:17:22.868721,4.169644425002291e-05,linknet,minmax,9,logcosh,1.6597317758110658e-11,COMPLETE
27,1.0154668019106192,0.9583762321167111,0.940262192431384,2023-05-15 18:19:55.841847,2023-05-15 18:30:26.588449,0 days 00:10:30.746602,0.0004601660050268863,deeplabv3+,minmax,122,huber,3.5532406106124137e-12,COMPLETE
28,33.68883600644086,12056.507611742445,162.33530580550791,2023-05-15 18:26:13.162932,2023-05-15 18:28:51.884384,0 days 00:02:38.721452,0.0001980673852387479,fpn,None,38,xsigmoid,8.271776892691221e-10,COMPLETE
29,1.0917049239800423,4.340174782706721,2.382062455226724,2023-05-15 18:28:52.014605,2023-05-15 18:39:20.602995,0 days 00:10:28.588390,0.00010885637714639096,linknet,zscore,109,mae,4.234415590920676e-08,COMPLETE
30,1.1850488517895026,3.9458305697896665,2.2204222646455465,2023-05-15 18:30:26.796889,2023-05-15 18:33:23.685958,0 days 00:02:56.889069,5.841636915321234e-05,pspnet,zscore,16,mse,7.109954558247119e-05,COMPLETE
31,1.0955526343412014,3.610644979485104,2.072711981968251,2023-05-15 18:33:23.792758,2023-05-15 18:40:53.171356,0 days 00:07:29.378598,0.004141868601807681,unet++,zscore,68,mse,9.273040925881323e-06,COMPLETE
32,0.9606088290193577,0.38180262487849703,0.6735336775504139,2023-05-15 18:39:20.757285,2023-05-15 18:57:26.651805,0 days 00:18:05.894520,0.0010107836248553434,linknet,minmax,87,mse,6.52423113373015e-11,COMPLETE
33,1.1726235497624518,4.092555528545524,2.258885096811493,2023-05-15 18:40:53.303111,2023-05-15 18:53:03.698381,0 days 00:12:10.395270,4.165966073043685e-05,deeplabv3,zscore,64,xtanh,5.793944696978069e-12,COMPLETE
34,0.9671454460389807,0.48924948172318483,0.7671092464632991,2023-05-15 18:53:03.827318,2023-05-15 18:57:54.223500,0 days 00:04:50.396182,0.001623029468529714,unet,minmax,12,mse,1.3958255955280437e-10,COMPLETE
35,46605.82749645724,12082.395417181908,162.50914054790573,2023-05-15 18:57:26.784929,2023-05-15 19:03:09.008264,0 days 00:05:42.223335,2.6967078201322287e-05,linknet,None,25,huber,4.0861200840565486e-05,COMPLETE
36,3.556816930766072,7.3880311344605945,3.2726295995598145,2023-05-15 18:57:54.336326,2023-05-15 19:00:46.439644,0 days 00:02:52.103318,1.9808385520904843e-05,linknet,zscore,95,mae,2.6148684131739444e-07,COMPLETE
37,1.1362828512012937,4.249823835711366,2.312549865556797,2023-05-15 19:00:46.545933,2023-05-15 19:14:06.259382,0 days 00:13:19.713449,2.408213133181997e-06,deeplabv3+,zscore,5,smooth,2.788724141409319e-10,COMPLETE
