,trial,learning_rate,norm,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr,pruned
0,0,0.007466324088845748,minmax,51,logcosh,unet,3,0.0015078476178185904,0.960031246437746,0.9637713572558235,1.0038958219661656,0.005708772281650454,0.8576730638742447,0.9469316899776459,1.1040706883112381,0.04646081663668156,0.011417544563300908,0.06904369033873081,0.8050851672887802,0.02099155681207776,0.0035159330000169575,0.04592938534915447,0.8579247891902924,3.247372621504972,1.5032574421334348,0.004756039334461093,0.8713597893714905,0.9642446160316467,1.1065975591175188,0.04362335652112961,0.009512078668922185,0.06334868893027305,0.796375286579132,0.019674894586205482,0.0023903062799945475,0.03729421161115169,0.8589691996574402,3.9794392662282103,1.6986198713832192,0.007466324088845748,0
1,1,9.745282874167088e-05,minmax,29,xtanh,unet,4,0.0018971698785511155,0.9502021372318268,0.963844754298528,1.0143575945918681,0.0019238198001403362,0.9279517978429794,0.9469316899776459,1.0204535323696609,0.034653413109481335,0.0038476396002806723,0.046830229461193085,0.703741043806076,0.02099155681207776,0.0035159330000169575,0.04592938534915447,0.8579247891902924,1.0943438342716187,1.0196136766296873,0.0018018542788922787,0.9411456108093261,0.9642446160316467,1.0245434977935635,0.0325237687677145,0.0036037085577845574,0.04684137925505638,0.7106286525726319,0.019674894586205482,0.0023903062799945475,0.03729421161115169,0.8589691996574402,1.5076346441230024,1.2559959637556704,9.745282874167088e-05,0
2,2,3.482694840072424e-05,zscore,38,huber,unet,4,0.34104163167269336,0.8626724714818208,0.9637930393218994,1.1172177983915295,0.3961979653686285,0.794764831662178,0.9469317346811295,1.1914615455501576,0.3726372644305229,1.0115978196263313,0.7179318219423294,-10.0,0.09258122369647026,0.11284089460968971,0.2601977810263634,-10.0,8.964815664794143,2.759177342367836,0.3468496114015579,0.8587359189987183,0.9642446398735046,1.122865153932083,0.3329950153827667,0.8544110178947448,0.6750157117843628,-10.0,0.0829269677400589,0.07671485543251037,0.21127805411815642,-10.0,11.137491077545079,3.1949163608202436,3.482694840072424e-05,0
3,3,0.00015054940948797604,zscore,51,mse,unet,4,0.3070443702094695,0.8655227773329791,0.9643548902343301,1.1141877666187967,0.36689900793135166,0.8102985769510269,0.9469317346811295,1.1686207548879362,0.3551715016365051,0.9336427301168442,0.669959306716919,-10.0,0.09258122369647026,0.11284089460968971,0.2601977810263634,-10.0,8.273974903746215,2.574807917554986,0.3165468454360962,0.8594473838806153,0.9642446398735046,1.121935627425735,0.3225893646478653,0.7790782928466797,0.623181140422821,-10.0,0.0829269677400589,0.07671485543251037,0.21127805411815642,-10.0,10.155507540936073,2.9495781898592717,0.00015054940948797604,0
4,4,1.4939668329809957e-05,minmax,50,logcosh,unet,4,0.015559272840619087,0.6990776868427501,0.964053213596344,1.3790358807621295,0.017031504306942225,0.6216119006276131,0.9469316899776459,1.523348714883953,0.17126648128032684,0.03406300861388445,0.14763697236776352,0.28095367923378944,0.02099155681207776,0.0035159330000169575,0.04592938534915447,0.8579247891902924,9.688184790131144,3.214433880301893,0.015139888972043991,0.7201541185379028,0.9642446160316467,1.338942028116579,0.16168819069862367,0.030279777944087982,0.14523256570100784,0.30259678363800047,0.019674894586205482,0.0023903062799945475,0.03729421161115169,0.8589691996574402,12.667739777748086,3.894238795426915,1.4939668329809957e-05,0
5,5,0.00197454161328748,minmax,28,mae,unet,3,0.001487554005918003,0.9653428081543215,0.9637697550558275,0.9983704720383202,0.0012433215451892465,0.9531751573085785,0.9469316899776459,0.9934498215956845,0.026626108214259148,0.002486643090378493,0.03857158683240414,0.860333040356636,0.02099155681207776,0.0035159330000169575,0.04592938534915447,0.8579247891902924,0.7072498509973029,0.8398019381096336,0.0010610071010887622,0.963239061832428,0.9642446160316467,1.0010439300471325,0.0248094841837883,0.0021220142021775245,0.035656781494617464,0.8567803502082825,0.019674894586205482,0.0023903062799945475,0.03729421161115169,0.8589691996574402,0.8877582843410197,0.9560942557626126,0.00197454161328748,0
6,6,0.00018146594661987289,zscore,19,logcosh,unet,4,0.2876490224962649,0.8377242891684823,0.9638360324113265,1.1505408699179793,0.34829445369541645,0.7631042450666428,0.9469317346811295,1.2408943349521437,0.35559169948101044,0.8854983933269978,0.6348887532949448,-10.0,0.09258122369647026,0.11284089460968971,0.2601977810263634,-10.0,7.847318087913843,2.4400237034712355,0.2975773811340332,0.8277883052825927,0.9642446398735046,1.1648444822427493,0.3231984913349152,0.7327109754085541,0.5863989353179931,-10.0,0.0829269677400589,0.07671485543251037,0.21127805411815642,-10.0,9.55109634604153,2.775484362375147,0.00018146594661987289,0
7,7,0.00011889257919968194,zscore,19,xsigmoid,unet,4,0.2933217384245085,0.8476043408331664,0.9638360324113265,1.137129655876831,0.35264473780989647,0.7793017625808716,0.9469317346811295,1.2151027755219046,0.35306936502456665,0.8964474573731422,0.6434588357806206,-10.0,0.09258122369647026,0.11284089460968971,0.2601977810263634,-10.0,7.944349080835485,2.4729605042843352,0.3022823423147202,0.8374943971633911,0.9642446398735046,1.151344585873552,0.3196838676929474,0.7439246386289596,0.5959154665470123,-10.0,0.0829269677400589,0.07671485543251037,0.21127805411815642,-10.0,9.69726964138549,2.820527049220876,0.00011889257919968194,0
8,8,2.3178988625614025e-05,zscore,23,logcosh,unet,4,0.3370629737251683,0.8672208237020593,0.9639401577020946,1.1115279192526217,0.3931444324553013,0.818741574883461,0.9469317346811295,1.1565697452409387,0.36957527697086334,1.0021090731024742,0.7141317501664162,-10.0,0.09258122369647026,0.11284089460968971,0.2601977810263634,-10.0,8.880726057416622,2.7445727913185394,0.34517195224761965,0.861179530620575,0.9642446398735046,1.1196790048860774,0.33288294076919556,0.8496608972549439,0.671963882446289,-10.0,0.0829269677400589,0.07671485543251037,0.21127805411815642,-10.0,11.07557190148693,3.1804717496616846,2.3178988625614025e-05,0
9,9,0.002997354626539196,zscore,41,xsigmoid,unet,4,0.2793166573558535,0.8094640799931118,0.9637972088087172,1.1906608738177966,0.3420325703918934,0.7414230704307556,0.9469317346811295,1.2771813724800556,0.38410964608192444,0.8674029856920242,0.6259762644767761,-10.0,0.09258122369647026,0.11284089460968971,0.2601977810263634,-10.0,7.686955945292016,2.4057709562609677,0.29054869115352633,0.8120807409286499,0.9642446398735046,1.1873753326188337,0.3544830083847046,0.7145529925823212,0.573531711101532,-10.0,0.0829269677400589,0.07671485543251037,0.21127805411815642,-10.0,9.314401865893453,2.7145825130554573,0.002997354626539196,0
