,Unnamed: 0,trial,learning_rate,norm,train_batch_size,training_loss,model_name,encoder_name,epoch,train_loss,train_corr,valid_mae,valid_corr,valid_perc,valid_rmse,valid_ssim,lr,pruned
0,0,0,0.0048055816934886,minmax,50,huber,unet,vgg11,1,0.0009540900184005,0.9381216834573184,0.2189991697669029,0.619420737028122,0.0196895962581038,0.0558274947106838,0.6586121022701263,0.0048055816934886,0
0,0,2,4.362228293526511e-05,zscore,28,mae,unet,mobilenet_v2,1,0.2012906415808585,0.8085448972640499,0.5316556692123413,0.7909380495548248,0.2725574653595686,0.4947889968752861,-10.0,4.362228293526511e-05,0
1,1,3,0.0010336924386871,zscore,25,smooth,unet,resnet18,1,0.1129593741680894,0.8499618002346584,0.3515384346246719,0.8097209334373474,0.2883959785103798,0.2938279546797275,-10.0,0.0010336924386871,0
