,Unnamed: 0,trial,learning_rate,norm,weight_decay,train_batch_size,training_loss,model_name,epoch,train_loss,train_corr,tcesm_corr,train_custom,valid_loss,valid_corr,vcesm_corr,valid_custom,valid_perc,valid_rmse,valid_mae,valid_ssim,valid_cesm_perc,valid_cesm_rmse,valid_cesm_mae,valid_cesm_ssim,valid_custom_second,valid_custom_third,evals_loss,evals_corr,ecesm_corr,evals_custom,evals_perc,evals_rmse,evals_mae,evals_ssim,evals_cesm_perc,evals_cesm_rmse,evals_cesm_mae,evals_cesm_ssim,evals_custom_second,evals_custom_third,lr
3,3,10,0.0065570927751477,zscore,5.68747731148446e-06,47,huber,fpn,11,0.290417225824462,0.7950407663981119,0.9328643381595612,1.1733540940118723,0.2558230087161064,0.8052091598510742,0.929741144180298,1.1546579330422124,0.2800545021891594,0.5774246901273727,0.5611813217401505,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,3.718474341092303,2.105987887515578,0.2737164884805679,0.7949981093406677,0.9367727279663086,1.1783332777271909,0.2944864720106125,0.6243499338626861,0.5835258781909942,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,4.811060725677695,2.362362079825285,0.0006557092775147
4,4,11,5.876499352538339e-05,negone,0.000228429758445,108,mse,fpn,54,0.0122722383821383,0.7502525746822357,0.9324301034212112,1.2428215975348509,0.0077492311829701,0.8338018953800201,0.9297411292791368,1.115062384039545,0.2373191267251968,0.0154984623659402,0.0932653490453958,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,1.868601989723156,1.514441017651845,0.0085436977446079,0.8243067741394043,0.9367727518081664,1.1364370416416625,0.2318734765052795,0.0170873954892158,0.0991323366761207,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,2.465172876090549,1.7365251275137674,5.876499352538339e-06
5,5,12,3.948456715558745e-05,None,1.418165093097668e-05,50,smooth,manet,1,284.5348851821002,0.0003022602330668,0.9332954112221212,3087.7214701796383,285.3143844604492,0.0767426747124773,0.929741159081459,12.115047625911007,0.4739168211817741,81733.244140625,285.8143844604492,-10.0,0.0013343539321795,6.760618567466736,1.758228361606598,-10.0,12089.610340382089,162.55816974723555,284.7732421875,0.092580172419548,0.9367727041244508,10.118502478902856,0.4691695749759674,81423.778125,285.2732299804687,-10.0,0.0012691836105659,5.649930572509765,1.629827332496643,-10.0,14411.46525254214,175.03279291768553,3.948456715558745e-05
6,6,13,2.951154740309098e-06,negone,1.9335257469934938e-08,67,huber,deeplabv3+,50,0.0339281455828593,0.7884721755981445,0.9329384565353394,1.183223055179596,0.035672003403306,0.7978208810091019,0.9297411292791368,1.1653507089250148,0.2718751057982445,0.0713484454900026,0.2333501614630222,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,8.602262860557335,3.7891356180232663,0.0347677826881408,0.8099114656448364,0.9367727518081664,1.1566359923826064,0.2602617442607879,0.0695365309715271,0.2296289533376693,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,10.031930855502514,4.022465936401181,2.951154740309098e-06
0,0,14,0.0008602458776901,negone,4.1386239986853117e-07,65,huber,unet,20,0.0046368564407412,0.9282756677040688,0.9325248094705436,1.0045774567989962,0.0036178618320263,0.9376114755868912,0.9297411292791368,0.9916059620507224,0.0457931242417544,0.0072357236640527,0.0544797675684094,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,0.8723889710149144,0.8846414609736669,0.0043132145889103,0.9294297218322752,0.9367727518081664,1.0079005758083732,0.0531627260148525,0.0086264291778206,0.0600474715232849,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.244521977623843,1.0518660876977937,8.602458776901624e-05
1,1,15,2.108931132428922e-06,None,2.47945056408929e-08,68,xtanh,fpn,1,284.9503580729167,0.0035202304536549,0.9329582800467808,265.02761462054866,285.8147735595703,0.3177904114127159,0.929741159081459,2.9256425798008103,0.66721411049366,82019.294921875,286.3147735595703,-10.0,0.0013343539321795,6.760618567466736,1.758228361606598,-10.0,12131.921673050158,162.84276821581213,285.2774291992188,0.3944616079330444,0.9367727041244508,2.3748133792616333,0.6612014412879944,81711.4046875,285.7774291992188,-10.0,0.0012691836105659,5.649930572509765,1.629827332496643,-10.0,14462.373234296723,175.34215036230373,2.108931132428922e-06
2,2,16,0.000889385536811,minmax,1.4832865686309087e-09,75,mse,manet,22,0.0004514153856276,0.9674952842972496,0.933208557692441,0.9645613501571608,0.0003893630128004,0.9682325422763824,0.9297411292791368,0.9602456937599414,0.0029445537948049,0.0007787260256009,0.0203410726971924,0.9325471073389052,0.0401599733158946,0.0020735371217597,0.0307920044288039,0.8299514651298523,0.3755544173426922,0.6605959265894583,0.0004637753067072,0.9637567281723024,0.9367727041244508,0.9720012081274648,0.0041264107916504,0.0009275506134144,0.0219176206737756,0.9248648762702942,0.0388998694717884,0.0017328800400719,0.0285433061420917,0.8308517575263977,0.5352653339904637,0.7678725290149403,8.893855368110295e-05
3,3,17,2.3653519472297794e-06,zscore,8.081280317380018e-06,70,xsigmoid,unet++,74,0.3932638068993886,0.8642372290293375,0.932268222173055,1.0787179617570122,0.3516538143157959,0.8610980957746506,0.929741144180298,1.0797157126957706,0.3112457022070884,0.8068848997354507,0.710805281996727,-10.0,0.0846777558326721,0.1552853770554065,0.2664693966507911,-10.0,5.196142193398869,2.6674931190249933,0.3764487087726593,0.8585692644119263,0.9367727279663086,1.0910857944675525,0.3485446512699127,0.8756519913673401,0.7394110679626464,-10.0,0.0747098118066787,0.1297738626599311,0.2470095008611679,-10.0,6.747521984931295,2.993451933568473,2.3653519472297794e-06
4,4,18,0.0003780894182023,negone,6.157290656030438e-11,48,huber,unet++,27,0.0052057298210759,0.9270118210050796,0.9327827129099104,1.0062252624767762,0.0040384685562457,0.9383785426616668,0.9297411292791368,0.9907953848155664,0.0501504996791482,0.0080769371124915,0.0594064444303512,-10.0,0.0634271306917071,0.0082941484870389,0.0615840088576078,-10.0,0.973811491934734,0.9646407489923,0.0046753992326557,0.9323795676231384,0.9367727518081664,1.0047117980032825,0.0545470930635929,0.0093507984653115,0.0642193987965583,-10.0,0.0565389417111873,0.0069315201602876,0.0570866122841835,-10.0,1.3490256464786108,1.1249467471789547,3.780894182023761e-05
5,5,19,2.506917968256088e-06,None,4.412270593386939e-06,39,xtanh,manet,0,284.5392608642578,4.385080532384481e-06,0.9327789274129,212716.4873083144,285.3412322998047,0.059925326379016,0.929741159081459,15.51499533270836,0.4945081174373626,81748.537109375,285.8412322998047,-10.0,0.0013343539321795,6.760618567466736,1.758228361606598,-10.0,12091.872406877545,162.5734395722149,284.809619140625,0.0458282211793587,0.9367727041244508,20.440957122428685,0.4913947105407715,81444.6203125,285.309619140625,-10.0,0.0012691836105659,5.649930572509765,1.629827332496643,-10.0,14415.15418061524,175.05511992093963,2.506917968256088e-06
