number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_model_name,params_norm,params_train_batch_size,params_training_loss,params_weight_decay,state
32,,2023-03-02 11:57:58.674128,2023-03-02 11:58:19.980508,0 days 00:00:21.306380,2.0612977183269154e-06,pan,minmax,212,mse,6.5386395415209494e-12,PRUNED
33,,2023-03-02 11:58:20.015041,2023-03-02 11:58:35.519533,0 days 00:00:15.504492,0.00019128983811667253,pan,zscore,11,mae,8.118122044043109e-09,PRUNED
34,0.17261538468301296,2023-03-02 11:58:35.547365,2023-03-02 11:59:50.205165,0 days 00:01:14.657800,4.155680026243774e-05,pspnet,minmax,214,xsigmoid,9.32189162407012e-09,COMPLETE
35,0.18866786547005177,2023-03-02 11:59:50.235636,2023-03-02 12:01:02.916653,0 days 00:01:12.681017,0.000229329993855251,deeplabv3,minmax,101,huber,2.0861334647023856e-05,COMPLETE
36,0.35234585404396057,2023-03-02 12:01:02.947439,2023-03-02 12:02:20.603570,0 days 00:01:17.656131,0.0015928185381963473,linknet,zscore,19,xsigmoid,6.267158534814093e-12,COMPLETE
37,0.43276501446962357,2023-03-02 12:02:20.633762,2023-03-02 12:03:37.572025,0 days 00:01:16.938263,0.001020449706829618,manet,negone,159,mae,1.1835671296190082e-12,COMPLETE
38,277.6177291870117,2023-03-02 12:03:37.605366,2023-03-02 12:04:21.307669,0 days 00:00:43.702303,4.556070958242717e-06,manet,None,183,xsigmoid,6.13340905112872e-11,COMPLETE
39,0.5625670105218887,2023-03-02 12:04:21.338911,2023-03-02 12:05:37.202793,0 days 00:01:15.863882,2.546683225912011e-05,manet,zscore,27,logcosh,5.217820732627534e-07,COMPLETE
40,0.18520345725119114,2023-03-02 12:05:37.233495,2023-03-02 12:06:46.264336,0 days 00:01:09.030841,0.0003828088320880797,deeplabv3,minmax,185,xsigmoid,6.937687049032005e-12,COMPLETE
41,0.5506095737218857,2023-03-02 12:06:46.294926,2023-03-02 12:07:51.864529,0 days 00:01:05.569603,0.006131992733110148,deeplabv3+,zscore,181,smooth,9.683339444428788e-07,COMPLETE
42,277.09849548339844,2023-03-02 12:07:51.895607,2023-03-02 12:08:45.024145,0 days 00:00:53.128538,0.0013713447487364776,unet++,None,23,xtanh,1.8318954179854323e-08,COMPLETE
43,0.3926113322377205,2023-03-02 12:08:45.054251,2023-03-02 12:10:04.779445,0 days 00:01:19.725194,0.00013121518501238102,manet,zscore,20,mae,0.00020657381451130377,COMPLETE
44,0.2152601070702076,2023-03-02 12:10:04.811700,2023-03-02 12:11:19.484866,0 days 00:01:14.673166,5.231989214707995e-05,unet++,negone,253,xsigmoid,1.7354579889518767e-12,COMPLETE
45,0.11596936732530594,2023-03-02 12:11:19.515794,2023-03-02 12:12:39.021685,0 days 00:01:19.505891,4.14234694685688e-05,linknet,minmax,12,smooth,0.0001483321196931346,COMPLETE
46,0.18418805673718452,2023-03-02 12:12:39.053566,2023-03-02 12:13:54.054937,0 days 00:01:15.001371,2.725185328091363e-05,pspnet,minmax,67,logcosh,2.9234175706553977e-08,COMPLETE
47,0.46895986795425415,2023-03-02 12:13:54.090030,2023-03-02 12:15:00.766854,0 days 00:01:06.676824,0.00018498477516070815,pspnet,zscore,150,logcosh,6.939669442459739e-08,COMPLETE
48,0.23440167680382729,2023-03-02 12:15:00.799171,2023-03-02 12:16:09.721639,0 days 00:01:08.922468,7.45768674487039e-06,unet++,negone,224,xsigmoid,5.994076791768628e-11,COMPLETE
49,0.6232149675488472,2023-03-02 12:16:09.753868,2023-03-02 12:17:15.642753,0 days 00:01:05.888885,0.00041110606285437237,linknet,zscore,179,xtanh,1.1661368327223663e-05,COMPLETE
50,,2023-03-02 12:17:15.692386,2023-03-02 12:17:22.121512,0 days 00:00:06.429126,0.00032679013221069723,pan,None,196,mae,0.0003369329007703478,PRUNED
51,0.6548105925321579,2023-03-02 12:17:22.169807,2023-03-02 12:18:26.793754,0 days 00:01:04.623947,0.0005997827839485478,deeplabv3,zscore,225,logcosh,7.164248178434261e-09,COMPLETE
52,0.1123549323529005,2023-03-02 12:18:26.825961,2023-03-02 12:19:43.260338,0 days 00:01:16.434377,6.908178758783724e-05,unet,minmax,28,mse,1.643102166000259e-11,COMPLETE
53,0.5340849235653877,2023-03-02 12:19:43.292950,2023-03-02 12:20:57.905835,0 days 00:01:14.612885,3.7352542690272255e-05,unet,zscore,50,mse,0.00014767002759407218,COMPLETE
54,0.22344772517681122,2023-03-02 12:20:57.939361,2023-03-02 12:22:21.274121,0 days 00:01:23.334760,1.4235529766682574e-06,manet,negone,215,mse,1.9245814088076856e-09,COMPLETE
